1	87
2	2209
3	2639
4	2917
5	3351
6	3532
7	3821
8	4156
9	4270
10	4424
11	4647
12	4690
13	4827
14	5023
15	5175
16	5220
17	5292
18	5376
19	5557
20	5614
21	5694
22	5753
23	5882
24	5971
25	6039
26	6093
27	6309
28	6437
29	6466
30	6503
31	6561
32	6611
33	6765
34	6808
35	6927
36	6966
37	7021
38	7113
39	7176
40	7272
41	7374
42	7411
43	7444
44	7624
45	7674
46	7754
47	7829
48	7859
49	7886
50	7973
51	8045
52	8105
53	8167
54	8191
55	8289
56	8334
57	8438
58	8510
59	8543
60	8563
61	8612
62	8636
63	8667
64	8822
65	8905
66	8949
67	8982
68	9032
69	9069
70	9103
71	9146
72	9177
73	9220
74	9273
75	9426
76	9484
77	9512
78	9584
79	9619
80	9656
81	9730
82	9823
83	9847
84	9926
85	9952
86	9985
87	10067
88	10133
89	10185
90	10221
91	10254
92	10292
93	10318
94	10345
95	10373
96	10444
97	10477
98	10513
99	10535
100	10573
101	10691
102	10782
103	10814
104	10836
105	10869
106	10971
107	10993
108	11045
109	11074
110	11107
111	11163
112	11193
113	11217
114	11242
115	11271
116	11317
117	11351
118	11466
119	11511
120	11542
121	11566
122	11594
123	11627
124	11664
125	11698
126	11737
127	11761
128	11831
129	11854
130	11882
131	11903
132	11927
133	11963
134	12039
135	12073
136	12110
137	12143
138	12172
139	12205
140	12235
141	12268
142	12304
143	12347
144	12371
145	12401
146	12437
147	12487
148	12504
149	12538
150	12566
151	12601
152	12641
153	12677
154	12775
155	12798
156	12821
157	12845
158	12890
159	12918
160	12947
161	12989
162	13023
163	13054
164	13080
165	13115
166	13145
167	13180
168	13214
169	13238
170	13268
171	13295
172	13329
173	13352
174	13381
175	13401
176	13428
177	13455
178	13493
179	13549
180	13571
181	13636
182	13674
183	13707
184	13728
185	13755
186	13794
187	13845
188	13879
189	13897
190	13958
191	13990
192	14019
193	14056
194	14111
195	14137
196	14158
197	14179
198	14218
199	14252
200	14286
201	14310
202	14338
203	14421
204	14444
205	14466
206	14495
207	14532
208	14591
209	14624
210	14642
211	14665
212	14713
213	14734
214	14763
215	14785
216	14804
217	14827
218	14866
219	14955
220	14985
221	15010
222	15033
223	15059
224	15092
225	15117
226	15140
227	15159
228	15183
229	15220
230	15287
231	15316
232	15337
233	15366
234	15389
235	15411
236	15437
237	15464
238	15487
239	15506
240	15552
241	15580
242	15607
243	15643
244	15659
245	15681
246	15711
247	15755
248	15823
249	15851
250	15904
251	15929
252	15950
253	15975
254	15994
255	16015
256	16036
257	16067
258	16094
259	16121
260	16150
261	16192
262	16231
263	16261
264	16298
265	16319
266	16338
267	16361
268	16381
269	16403
270	16434
271	16457
272	16503
273	16520
274	16572
275	16595
276	16622
277	16645
278	16675
279	16704
280	16720
281	16745
282	16764
283	16802
284	16826
285	16852
286	16880
287	16914
288	16935
289	16959
290	16996
291	17032
292	17053
293	17080
294	17106
295	17136
296	17158
297	17177
298	17208
299	17229
300	17257
301	17290
302	17309
303	17338
304	17370
305	17395
306	17425
307	17445
308	17468
309	17494
310	17525
311	17556
312	17579
313	17605
314	17643
315	17662
316	17703
317	17723
318	17750
319	17790
320	17813
321	17838
322	17859
323	17895
324	17916
325	17937
326	17958
327	17988
328	18014
329	18050
330	18070
331	18101
332	18131
333	18152
334	18178
335	18200
336	18226
337	18244
338	18272
339	18288
340	18311
341	18330
342	18353
343	18393
344	18414
345	18433
346	18474
347	18489
348	18515
349	18536
350	18563
351	18589
352	18608
353	18642
354	18668
355	18692
356	18714
357	18744
358	18768
359	18789
360	18812
361	18834
362	18855
363	18879
364	18912
365	18930
366	18954
367	18973
368	18991
369	19017
370	19049
371	19079
372	19096
373	19113
374	19130
375	19150
376	19181
377	19206
378	19238
379	19260
380	19277
381	19301
382	19318
383	19352
384	19374
385	19408
386	19440
387	19462
388	19484
389	19502
390	19520
391	19540
392	19580
393	19607
394	19638
395	19660
396	19676
397	19698
398	19717
399	19735
400	19755
401	19774
402	19807
403	19824
404	19842
405	19864
406	19885
407	19910
408	19926
409	19947
410	19979
411	19999
412	20018
413	20044
414	20064
415	20084
416	20106
417	20137
418	20152
419	20173
420	20194
421	20214
422	20236
423	20252
424	20279
425	20300
426	20319
427	20336
428	20359
429	20376
430	20395
431	20418
432	20442
433	20480
434	20510
435	20529
436	20552
437	20568
438	20592
439	20607
440	20631
441	20647
442	20675
443	20698
444	20716
445	20735
446	20752
447	20770
448	20799
449	20819
450	20838
451	20859
452	20890
453	20908
454	20925
455	20960
456	20976
457	21005
458	21022
459	21051
460	21067
461	21089
462	21112
463	21137
464	21162
465	21192
466	21212
467	21230
468	21245
469	21260
470	21289
471	21306
472	21323
473	21343
474	21363
475	21378
476	21397
477	21414
478	21432
479	21449
480	21464
481	21491
482	21507
483	21523
484	21538
485	21557
486	21573
487	21590
488	21605
489	21624
490	21639
491	21654
492	21669
493	21692
494	21714
495	21743
496	21770
497	21785
498	21811
499	21826
500	21851
